,Name,ID,Description,Homepage,Popularities,Ratings,Os Types,Bases,Origins,Architectures,Desktops,Categories,Statuses
42,SpiralLinux,alpine,"Alpine Linux is a community developed operating system designed for routers, firewalls, VPNs, VoIP boxes, containers, and servers. It was designed with security in mind; it has proactive security features like PaX and SSP that prevent security holes in the software to be exploited. The C library used is musl and the base tools are all in BusyBox. Those are normally found in embedded systems and are smaller than the tools found in GNU/Linux systems.",['https://www.alpinelinux.org/'],['32 (293 hits per day)'],['9.03'],['Linux'],[],['Norway'],"['aarch64', 'i486', 'ppc64', 's390x', 'x86_64', 'armhf']","['GNOME', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Firewall', 'From RAM', 'Raspberry Pi', 'Server', 'Security', 'Telephony']",['Active']
43,XeroLinux,cachyos,"CachyOS is a Linux distribution based on Arch Linux. It focuses on speed and security optimisations - the default Linux kernel is heavily optimised using the BORE (Burst-Oriented Response Enhancer) scheduler, while the desktop packages are compiled with LTO and x86-64-v3 optimization, security flags and performance improvements. The available desktop environments and window managers include KDE Plasma, GNOME, Xfce, i3, bspwm, LXQt, Openbox, Wayfire and Cutefish. CachyOS also ships with both graphical and command-line installers and provides a Firefox-based browser (called Cachy-Browser) with some security enhancements and performance optimisations.",['https://cachyos.org/'],['29 (309 hits per day)'],['8.84'],['Linux'],['Arch'],['Germany'],['x86_64'],"['GNOME', 'KDE Plasma']","['Desktop', 'Live Medium']",['Active']
44,Regata,biglinux,"BigLinux is a Brazilian Linux distribution localised into Brazilian Portuguese (with support for English). It is was originally based on Kubuntu, but starting from 2017 the distribution was re-born based on deepin. It then offered two desktop environments - Cinnamon and Deepin. In 2021 the distribution switched bases and desktop environments again, migrating to Manjaro Linux running KDE Plasma.",['https://www.biglinux.com.br/'],['76 (140 hits per day)'],['9.56'],['Linux'],['Manjaro'],['Brazil'],['x86_64'],['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
45,Bluestar,blendos,"blendOS is an Arch Linux-based, rolling release distribution which automates installing software from supported distributions (Arch, Fedora, and Ubuntu) into containers. blendOS tries to make software management in across containers feel native and provides access to the user's home directory for each container.",['https://blendos.co/'],['35 (275 hits per day)'],['4.78'],['Linux'],['Arch Linux'],['India'],['x86_64'],"['Cinnamon', 'Deepin', 'GNOME', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Live Medium']",['Active']
46,Rocky,kubuntu,"Kubuntu is a free, user-friendly Linux distribution based on KDE's desktop software and on the Ubuntu operating system. It has a biannual release cycle. Besides providing an up-to-date version of the KDE desktop at the time of the release, the project also releases updated KDE packages throughout the lifetime of each release.",['https://kubuntu.org/'],['37 (259 hits per day)'],['8.31'],['Linux'],"['Debian', 'Ubuntu']",['Isle of Man'],['x86_64'],['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
47,KaOS,bodhi,"Bodhi Linux is an elegant and lightweight Debian/Ubuntu-based distribution featuring Moksha, an Enlightenment-17-based desktop environment. The project takes a decidedly minimalist approach by offering modularity, high levels of customisation, and choice of themes. Bodhi releases come in several editions, including Standard (64-bit) and Legacy (32-bit) which are minimalist, only including a web browser, terminal, file manger, text editor and photo GUI applications, while the AppPack edition includes more applications and tools preinstalled. Additional software can be added with Bodhi's web-based AppCenter, Synaptic, and APT.",['https://www.bodhilinux.com/'],['38 (257 hits per day)'],['8.93'],['Linux'],"['Debian', 'Ubuntu']",['USA'],['x86_64'],['Moksha (Enlightenment)'],"['Desktop', 'Live Medium', 'Netbooks', 'Old Computers']",['Active']
48,Lubuntu,ghostbsd,"GhostBSD is a user-friendly desktop operating system based on FreeBSD. Its default desktop is MATE, but a separate community edition with Xfce is available too. It also features a selection of commonly used software, a rolling-release development model, and a bootable live image with an intuitive graphical system installer.",['https://www.ghostbsd.org/'],['59 (169 hits per day)'],['7.24'],['BSD'],['FreeBSD'],['Canada'],['x86_64'],"['MATE', 'Xfce']","['Desktop', 'Live Medium']",['Active']
49,PureOS,ubports,"UBports is a community-developed fork of Canonical's Ubuntu Touch operating system for mobile devices. UBports works on getting the mobile operating system working on new devices, provides software updates and ports new versions of Ubuntu to mobile devices.",['https://ubports.com/'],['144 (61 hits per day)'],['7.63'],['Linux'],['Ubuntu'],['Norway'],['armhf'],['Unity'],"['Immutable', 'Mobile']",['Active']
50,Athena,pureos,PureOS is a GNU/Linux distribution based on Debian. It is a desktop distribution that can be used as live media (CD or USB) or as full-featured operating systems installed on a hard disk. PureOS uses free and open source software exclusively and is endorsed by the Free Software Foundation. It ships with some privacy features enabled by default such as using DuckDuckGo as the search engine and the HTTPS Everywhere browser extension is enabled.,['https://pureos.net/'],['50 (197 hits per day)'],['6.63'],['Linux'],['Debian'],['France'],['x86_64'],['GNOME'],"['Desktop', 'Free Software', 'Live Medium', 'Mobile']",['Active']
51,Clear,centos,"CentOS as a group is a community of open source contributors and users which started in 2003 and has been sponsored by Red Hat since 2014. CentOS Linux versions up to CentOS Linux 8 are 100% compatible rebuilds of Red Hat Enterprise Linux, in full compliance with Red Hat's redistribution requirements. In 2020 it was announced CentOS Linux is being discontinued and replaced with CentOS Stream, a developer-focused distribution which acts as a middle-stream between Fedora and Red Hat Enterprise Linux.",['http://www.centos.org/'],['53 (182 hits per day)'],['4.47'],['Linux'],"['Fedora', 'Red Hat']",['USA'],"['aarch64', 'ppc64le', 'x86_64']",['GNOME'],"['Desktop', 'Live Medium', 'Server']",['Active']
52,CentOS,rocky,Rocky Linux is a community enterprise operating system designed to be 100% bug-for-bug compatible with Red Hat Enterprise Linux. It is available for the x86_64 and AArch64 processor architectures.,['https://rockylinux.org/'],['47 (204 hits per day)'],['8.85'],['Linux'],['Red Hat'],['USA'],"['aarch64', 'ppc64le', 's390x', 'x86_64']",['GNOME'],"['Desktop', 'Server']",['Active']
53,Linuxfx,tails,"The Amnesic Incognito Live System (Tails) is a Debian-based live DVD/USB with the goal of providing complete Internet anonymity for the user. The product ships with several Internet applications, including web browser, IRC client, mail client and instant messenger, all pre-configured with security in mind and with all traffic anonymised. To achieve this, Incognito uses the Tor network to make Internet traffic very hard to trace.",['https://tails.net/'],['40 (240 hits per day)'],['5'],['Linux'],['Debian (Stable)'],['Ireland'],['x86_64'],['GNOME'],"['From RAM', 'Live Medium', 'Privacy', 'Security']",['Active']
54,Xubuntu,clonezilla,"Clonezilla Live is a Debian-based live CD containing Clonezilla, a partition and disk cloning software similar to Norton Ghost. It saves and restores only used blocks in hard drive. With Clonezilla, one can clone a 5 GB system to 40 clients in about 10 minutes.","['https://clonezilla.org/', None]",['147 (60 hits per day)'],['8.56'],['Linux'],['Debian (Unstable)'],['Taiwan'],"['i686', 'x86_64']",['No Desktop'],"['Data Rescue', 'Specialist']",['Active']
55,Fatdog64,lubuntu,"Lubuntu is a variant of Ubuntu that uses the LXQt desktop environment. (Versions prior to 18.10 shipped with the LXDE desktop.) It includes essential applications and services for daily use, including office suite, PDF reader, image editor and multimedia players. A distribution available for both 32-bit and 64-bit computers, Lubuntu is intended to be user-friendly, lightweight and energy efficient.",['https://lubuntu.me/'],['49 (198 hits per day)'],['7.8'],['Linux'],"['Debian', 'Ubuntu']","['France, Taiwan']",['x86_64'],"['LXDE', 'LXQt']","['Live Medium', 'Netbooks']",['Active']
56,OpenMandriva,parrot,"Parrot (formerly Parrot Security OS) is a Debian-based, security-oriented distribution featuring a collection of utilities designed for penetration testing, computer forensics, reverse engineering, hacking, privacy, anonymity and cryptography. The product, developed by Frozenbox, comes with MATE as the default desktop environment.",['https://parrotsec.org/'],['58 (173 hits per day)'],['8.43'],['Linux'],['Debian'],['Italy'],['x86_64'],"['KDE Plasma', 'MATE']","['Forensics', 'Live Medium', 'Security']",['Active']
57,Parrot,xubuntu,"Xubuntu is a community-developed operating system based on Ubuntu. It comes with Xfce, which is a stable, light and configurable desktop environment.",['https://www.xubuntu.org/'],['55 (177 hits per day)'],['8.1'],['Linux'],"['Debian', 'Ubuntu']",['Isle of Man'],['x86_64'],['Xfce'],['Desktop'],['Active']
58,GhostBSD,voyager,"Voyager Live is an Xubuntu-based distribution and live DVD showcasing the Xfce desktop environment. Its features include the Avant Window Navigator or AWN (a dock-like navigation bar), Conky (a program which displays useful information on the desktop), and over 300 photographs and animations that can be used as desktop backgrounds. The project also develops several other editions of Voyager Live - a ""GE"" edition with GNOME Shell, a ""GS"" variant for Gamers, and a separately-maintained flavour based on Debian's ""stable"" branch.",['https://voyagerlive.org/'],['34 (279 hits per day)'],['7.95'],['Linux'],"['Debian (Stable)', 'Xubuntu']",['France'],['x86_64'],"['GNOME', 'Xfce']","['Desktop', 'Live Medium']",['Active']
59,Archcraft,gentoo,"Gentoo Linux is a versatile and fast, completely free Linux distribution geared towards developers and network professionals. Unlike other distros, Gentoo Linux has an advanced package management system called Portage. Portage is a true ports system in the tradition of BSD ports, but is Python-based and sports a number of advanced features including dependencies, fine-grained package management, ""fake"" (OpenBSD-style) installs, safe unmerging, system profiles, virtual packages, config file management, and more.",['https://www.gentoo.org/'],['61 (168 hits per day)'],['8.38'],['Linux'],[],['USA'],"['i486', 'i586', 'i686', 'x86_64', 'alpha', 'arm', 'hppa', 'ia64', 'mips', 'powerpc', 'ppc64', 'sparc64']","['AfterStep', 'Awesome', 'Blackbox', 'Enlightenment', 'Fluxbox', 'GNOME', 'IceWM', 'KDE Plasma', 'LXDE', 'MATE', 'Openbox', 'WMaker', 'Xfce']","['Desktop', 'Server', 'Source-based']",['Active']
60,Gentoo,artix,"Artix Linux is a fork (or continuation as an autonomous project) of the Arch-OpenRC and Manjaro-OpenRC projects. Artix Linux offers a lightweight, rolling-release operating system featuring the OpenRC init software. (Alternative spins feature the runit and s6 init software.) Several editions of Artix Linux are available, featuring either a plain command line or one of several desktop environments.",['https://artixlinux.org/'],['72 (150 hits per day)'],['9.23'],['Linux'],['Arch'],['Global'],['x86_64'],"['Cinnamon', 'LXDE', 'LXQt', 'MATE', 'KDE Plasma', 'Xfce']","['Desktop', 'Live Medium']",['Active']
61,Neptune,arch,"Arch Linux is an independently developed, x86_64-optimised Linux distribution targeted at competent Linux users. It uses 'pacman', its home-grown package manager, to provide updates to the latest software applications with full dependency tracking. Operating on a rolling release system, Arch can be installed from a CD image or via an FTP server. The default install provides a solid base that enables users to create a custom installation. In addition, the Arch Build System (ABS) provides a way to easily build new packages, modify the configuration of stock packages, and share these packages with other users via the Arch Linux user repository.",['http://www.archlinux.org/'],['67 (158 hits per day)'],['9.22'],['Linux'],[],['Canada'],['x86_64'],"['Cinnamon', 'Enlightenment', 'GNOME', 'KDE', 'LXDE', 'MATE', 'Xfce']","['Desktop', 'Server']",['Active']
62,MakuluLinux,spiral,"SpiralLinux is a selection of desktop spins built from Debian GNU/Linux, with a focus on simplicity and out-of-the-box usability across all the major desktop environments. SpiralLinux serves as an alternative live installation method for a highly reliable customized Debian system using only official Debian package repositories. Unlike Debian's official install media, SpiralLinux includes non-free firmware. It also provides popular media codecs out of the box.",['https://spirallinux.github.io/'],['43 (211 hits per day)'],['8.67'],['Linux'],['Debian'],['USA'],['x86_64'],"['Budgie', 'Cinnamon', 'GNOME', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Live Medium']",['Active']
63,Red Hat,smartos,"SmartOS is an open-source UNIX-like operating system based on illumos, a community fork of OpenSolaris. It features four technologies - ZFS (a combined file system and logical volume manager), DTrace (a dynamic tracing framework for troubleshooting kernel and application problems), Zones (a lightweight virtualisation solution), KVM and bhyve (two full virtualisation solutions for running a variety of guest operating systems, including Linux, Windows, BSD and Plan9). SmartOS is designed to be particularly suitable for building clouds and generating appliances.",['https://www.tritondatacenter.com/smartos'],['39 (249 hits per day)'],['7'],['Solaris'],['Solaris'],['USA'],['x86_64'],['No Desktop'],"['Specialist', 'Live Medium']",['Active']
64,siduction,lernstick,"Lernstick is a mobile and secure learning and working environment for school and at home that can be installed on external storage media (e.g. USB sticks, USB hard drives, SD cards, etc.). The distribution is based on Debian's stable branch. The distribution is intended to perform so that almost every computer can be started from this storage media. Basically, a hard drive with an installed operating system is no longer required. (Optionally, the system can still be installed on the hard disk.) As a result, the learning stick is a platform for so-called Bring Your Own Device scenarios, in which students can also use their private devices for school purposes.",['https://www.bfh.ch/de/forschung/forschungsbereiche/lernstick/'],['273 (5 hits per day)'],0,['Linux'],['Debian'],['Germany'],['x86_64'],"['Cinnamon', 'Enlightenment', 'GNOME', 'KDE Plasma', 'LXDE', 'MATE', 'Xfce']","['Desktop', 'Education', 'Live Medium']",['Active']
65,TrueNAS,athena,"Athena OS is an Arch-derived Linux distribution designed for penetration testing, bug-bounty hunting and InfoSec students. The distribution provides a way to connect directly to some of the e-learning hacking resources, such as Hack The Box, Offensive Security, PWNX and InfoSec certifications, and it provides integration with the Hack The Box hacking platform and connections to InfoSec communities. Athena OS also introduces InfoSec roles (e.g. penetration tester or open-source intelligence specialist) based on user preferences, so the user's system is populated with relevant tools only.",['https://github.com/Athena-OS'],['51 (187 hits per day)'],['8'],['Linux'],['Arch'],['Switzerland'],['x86_64'],['GNOME'],"['Desktop', 'Forensics', 'Live Medium', 'Security']",['Active']
66,Arch,xero,"XeroLinux is an Arch Linux-based distribution with KDE Plasma as the preferred desktop. Some of the features of the distribution include the Calamares installer, various under-the-hood tweaks and optimisations, built-in support for community-built AUR packages as well as Flatpak packages, and the availability of various desktop and bootloader themes developed in-house.",['https://xerolinux.xyz/'],['44 (210 hits per day)'],['8.3'],['Linux'],['Arch'],['Lebanon'],['x86_64'],['KDE Plasma'],"['Live Medium', 'Desktop']",['Active']
67,Murena,alt,"ALT Linux was founded in 2001 by a merge of two large Russian free software projects. By the year 2008 it became a large organization developing and deploying free software, writing documentation and technical literature, supporting users, and developing custom products. ALT Linux produces different types of distributions for various purposes. There are desktop distributions for home and office computers and for corporate servers, universal distributions that include a wide variety of development tools and documentation, certified products, distributions specialized for educational institutions, and distributions for low-powered computers. ALT Linux has its own development infrastructure and repository called Sisyphus, which provides the base for all the different editions of ALT Linux.","['https://en.altlinux.org/', 'https://www.basealt.ru/']",['73 (147 hits per day)'],['8.75'],['Linux'],['Mandrake'],['Russia'],"['aarch64', 'armhf', 'i586', 'mipsel', 'ppc64el', 'riscv64', 'x86_64']","['AfterStep', 'Blackbox', 'Cinnamon', 'Enlightenment', 'FVWM', 'GNOME', 'IceWM', 'KDE', 'LXDE', 'MATE', 'Openbox', 'LXQt', 'WMaker', 'Xfce']","['Data Rescue', 'Desktop', 'Education', 'Live Medium', 'Raspberry Pi', 'Old Computers', 'Security', 'Server']",['Active']
68,Qubes,wattos,"wattOS is a fast desktop Linux distribution based on Debian. Using the lightweight Openbox window manager as its default user interface, the distribution strives to be as energy-efficient as possible so that it can be used on low-specification and recycled computers.",['https://www.planetwatt.com/'],['78 (137 hits per day)'],['8.55'],['Linux'],['Debian'],['USA'],['x86_64'],['LXDE'],"['Desktop', 'Live Medium', 'Netbooks', 'Old Computers']",['Active']
69,ReactOS,gecko,"GeckoLinux is a Linux spin based on the openSUSE distribution, with a focus on polish and out-of-the-box usability on the desktop. The distribution features many desktop editions which can be installed from live discs. Some patent encumbered open source software is included in GeckoLinux which is not available in the default installation of openSUSE. Special attention has been given to the quality of the font rendering. GeckoLinux provides two main editions, Static (which is based on openSUSE Leap) and Rolling (based on openSUSE Tumbleweed).",['https://geckolinux.github.io/'],['99 (118 hits per day)'],['8.55'],['Linux'],['openSUSE'],['USA'],['x86_64'],"['Budgie', 'Cinnamon', 'GNOME', 'IceWM', 'KDE Plasma', 'LXQt', 'MATE', 'Pantheon', 'Xfce']","['Desktop', 'Live Medium']",['Active']
70,Rhino,openbsd,"The OpenBSD project produces a free, multi-platform BSD 4.4-based UNIX-like operating system. Its efforts emphasize portability, standardisation, correctness, proactive security and integrated cryptography. The project also develops the widely-used and popular OpenSSH (OpenBSD Secure Shell) software, which provides encrypted communication sessions over a computer network using the SSH protocol.",['https://www.openbsd.org/'],['75 (141 hits per day)'],['8.43'],['BSD'],[],['Canada'],"['alpha', 'armish', 'aviion', 'hppa', 'i386', 'landisk', 'loongson', 'luna88k', 'octeon', 'powerpc', 'powerpc64', 'risc64', 'sgi', 'socppc', 'sparc', 'sparc64', 'x86_64', 'zaurus']","['AfterStep', 'Awesome', 'Blackbox', 'Enlightenment', 'Fluxbox', 'GNOME', 'IceWM', 'KDE', 'Openbox', 'WMaker', 'Xfce']","['Security', 'Server']",['Active']
71,Artix,linuxfx,"Linuxfx is a Brazilian Linux distribution based on Ubuntu. It ships with an intuitive Cinnamon desktop user interface designed to facilitate migration of users from Windows. It includes a video management system called Sentinela, a computer vision software with video analytics and software for access control (facial recognition and automatic number plate recognition), object detection, gender, age and mood detection. Other features of the distribution include a new personal assistant, a WX theme for desktop and system applications, and compatibility with software written for Windows (.exe and .msi) through a Wine port. Following the release of Linuxfx 10.6 the distribution became a commercial offering.",['http://www.linuxfx.org/'],['54 (178 hits per day)'],['6.23'],['Linux'],['Ubuntu (LTS)'],['Brazil'],['x86_64'],['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
72,ALT,archcraft,Archcraft is a minimal Linux distribution based on Arch Linux. The project provides a graphical user interface using minimal window managers rather than full featured desktop environments. Archcraft is installed using the Calamares system installer and includes the yay package manager to facilitate fetching software from the Arch User Repository.,['https://archcraft.io/'],['60 (168 hits per day)'],['8.68'],['Linux'],['Arch'],['India'],['x86_64'],"['bspwm', 'LXDE', 'Openbox', 'Xfce']","['Desktop', 'Live Medium']",['Active']
73,Void,haiku,"Haiku is an open-source operating system, currently in development, that specifically targets personal computing. Inspired by the Be Operating System (BeOS), Haiku aims to become a fast, efficient, simple to use, easy to learn and yet very powerful system for computer users of all levels. The key highlights that distinguish Haiku from other operating systems include: specific focus on personal computing, custom kernel designed for responsiveness, fully threaded design for great efficiency with multi-processor/core CPUs, rich object-oriented API for faster development, database-like file system (BFS) with support for indexed metadata, and unified, cohesive interface.",['https://haiku-os.org/'],['97 (123 hits per day)'],['7.19'],['Other OS'],[],['USA'],"['i386', 'x86_64']",['Haiku'],"['Desktop', 'Live Medium']",['Active']
74,OpenBSD,rebornos,"RebornOS is a desktop-oriented Linux distribution based on Arch Linux. Although the RebornOS live image provides one desktop only, the installation process offers a choice to install one of the many popular desktop environments and window managers. Other interesting features of the distribution include support for Flatpak packages, optional installation of Anbox for running Android applications, a capability to rollback the system to a previous date, and graphical system configuration and maintenance tools.",['https://rebornos.org/'],['77 (139 hits per day)'],['8.05'],['Linux'],['Arch'],['USA'],['x86_64'],['Xfce'],"['Desktop', 'Live Medium']",['Active']
75,BigLinux,rhino,"Rhino Linux is an Ubuntu-based distribution which offers a rolling-release upgrade approach. The distribution uses a customised Xfce desktop environment. Rhino features a custom meta package manager which unifies Deb, Pacstall and Flatpak software management.",['https://rhinolinux.org/'],['71 (153 hits per day)'],['4.56'],['Linux'],"['Debian', 'Ubuntu']",['Global'],"['aarm64', 'x86_64']",['Xfce'],"['Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
76,RebornOS,gnoppix,"Gnoppix is a Debian and Kali Linux-based distribution which can be run from a DVD, USB thumb drive or from a local drive. It can resume previous sessions while running in a live mode. The distribution attempts to clean up after itself, removing all traces of its use from the computer or used media. Prior to version 22, Gnoppix was a Knoppix-based distribution and live medium featuring the GNOME desktop.",['https://www.gnoppix.com/'],['41 (225 hits per day)'],['6.5'],['Linux'],"['Debian', 'Kali']",['Germany'],['x86_64'],"['GNOME', 'KDE Plasma', 'Xfce']","['Live Medium', 'Security']",['Active']
77,wattOS,kodachi,"Linux Kodachi is a Debian-based distribution which can be run from a DVD or USB thumb drive. The distribution filters all network traffic through a VPN and the Tor network, obscuring the user's network location. The distribution attempts to clean up after itself, removing traces of its use from the computer.",['https://www.digi77.com/linux-kodachi/'],['95 (124 hits per day)'],['7.98'],['Linux'],"['Debian', 'Xubuntu']",['Oman'],['x86_64'],['Xfce'],"['Live Medium', 'Privacy', 'Security']",['Active']
78,Emmabuntüs,lxle,"LXLE is an easy-to-use lightweight desktop Linux distribution based on Lubuntu and featuring the LXDE desktop environment. Compared to its parent, LXLE has a number of unique characteristics: it is built from Ubuntu's LTS (long-term support) releases, it covers most users' everyday needs by providing a good selection of default applications, and it adds useful modifications and tweaks to improve performance and functions.",['http://www.lxle.net/'],['90 (127 hits per day)'],['8.14'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['USA'],['x86_64'],['LXDE'],"['Desktop', 'Live Medium', 'Old Computers']",['Active']
79,Proxmox,regata,"Regata OS is a Brazilian Linux distribution based on openSUSE, focusing on desktop and gaming needs. Its main characteristics include a Regata OS store for installing applications and games, out-of-the-box integration with Google Drive, support for a gaming mode via the Vulkan graphics API, an extensive library of games in the Regata OS Game Access portal, support for configuration of hybrid graphics in notebooks, and easy transfer of files between a computer and a smartphone. The distribution's user interface is KDE Plasma.",['https://www.regataos.com.br/'],['45 (209 hits per day)'],['8.22'],['Linux'],['openSUSE'],['Brazil'],['x86_64'],['KDE Plasma'],"['Desktop', 'Gaming', 'Live Medium']",['Active']
80,Ubuntu MATE,tinycore,"Tiny Core Linux is a 16 MB graphical Linux desktop. It is based on a recent Linux kernel, BusyBox, Tiny X, Fltk, and Flwm. The core runs entirely in memory and boots very quickly. The user has complete control over which applications and/or additional hardware to have supported, be it for a desktop, a nettop, an appliance or server; selectable from the project's online repository.",['http://www.tinycorelinux.net/'],['93 (125 hits per day)'],['6.7'],['Linux'],['Damn Small'],['USA'],"['i486', 'x86_64']","['dwm', 'Fluxbox', 'flwm', 'GNOME', 'Hackedbox', 'i3', 'IceWM', 'JWM', 'Openbox', 'WMFS']","['Desktop', 'From RAM', 'Live Medium', 'Old Computers', 'Raspberry Pi']",['Active']
81,Slax,openmandriva,"The OpenMandriva distribution is a full-featured Linux desktop and server, sponsored by the OpenMandriva Association. It was based on ROSA, a Russian Linux distribution project which forked Mandriva Linux in 2012, incorporating many of Mandriva's original tools and utilities and adding in-house enhancements. The goal of OpenMandriva is to facilitate the creation, improvement, promotion and distribution of free and open-source software in general, and OpenMandriva projects in particular. OpenMandriva has traditionally been a fixed release distribution, but in 2023 the project began releasing an alternative rolling branch called ROME.",['https://www.openmandriva.org/'],['57 (173 hits per day)'],['7.97'],['Linux'],[],['France'],['x86_64'],"['GNOME', 'KDE Plasma']","['Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
82,Oracle,bluestar,"Bluestar Linux is a GNU/Linux distribution that is based on Arch Linux. The Bluestar distribution features up to date packages, a full range of desktop and multimedia software in the default installation and a live desktop DVD.",['https://sourceforge.net/projects/bluestarlinux/'],['46 (205 hits per day)'],['5.41'],['Linux'],['Arch'],['Germany'],['x86_64'],['KDE Plasma'],['Desktop'],['Active']
83,deepin,oracle,"Oracle Linux is an enterprise-class Linux distribution supported by Oracle and built from source packages for Red Hat Enterprise Linux (RHEL). Some of the special features of Oracle Linux include a custom-build and rigorously-tested Linux kernel called ""Oracle Unbreakable Kernel"", tight integration with Oracle's hardware and software products including most database applications, and ""zero downtime patching"" - a feature that enables administrators to update the kernel without a reboot.",['https://www.oracle.com/linux/'],['83 (131 hits per day)'],['8'],['Linux'],['Red Hat'],['USA'],"['aarch64', 'x86_64']",['GNOME'],['Server'],['Active']
84,Absolute,nitrux,"Nitrux is a Linux distribution based on Debian's Unstable (sid) branch with additional packages pulled in from Ubuntu LTS repositories. Nitrux strives to be a distribution suitable for laptops and desktop computers. Its main desktop environment is NX Desktop, a KDE Plasma desktop enhanced with ""plasmoids"" to create a special blend of aesthetics and functionality. The project also focuses on using redistributable, portable applications using the AppImage format. Registration with an e-mail address was required to download this distribution, however public downloads have been available since mid-2020.",['https://nxos.org/'],['98 (119 hits per day)'],['4.11'],['Linux'],"['Debian', 'Ubuntu']",['Mexico'],['x86_64'],"['JWM', 'NX Desktop (KDE Plasma)']","['Desktop', 'Live Medium']",['Active']
85,Endless,ubuntumate,"Ubuntu MATE is a desktop Linux distribution which aims to bring the simplicity and elegance of the Ubuntu operating system through a classic, traditional desktop environment - the MATE desktop. MATE is the continuation of the GNOME 2 desktop environment which was used as Ubuntu's default desktop until 10.10 (when it was replaced by Unity). The project began its life as an Ubuntu ""remix"", but starting with version 15.04, it was formally accepted as an official member of the Ubuntu family of Linux distributions.",['https://ubuntu-mate.org/'],['81 (133 hits per day)'],['8.24'],['Linux'],"['Debian', 'Ubuntu']",['United Kingdom'],"['aarch64', 'armhf', 'x86_64']",['MATE'],"['Beginners', 'Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
86,Mabox,slax,"Slax is a minimalist desktop live CD based on Slackware Linux. It boots into a simple desktop using the Fluxbox window manager which offers a small collection of applications, including the Chromium web browser, a text editor and a calculator. Prior to version 9.x, Slax was a Slackware-based live CD featuring the KDE desktop and a wide collection of pre-installed software for daily use together with useful recovery tools for system administrators. After releasing version 11.x with a Debian base, the project returned to a Slackware base for version 15.0.0.",['https://www.slax.org/'],['82 (132 hits per day)'],['6.75'],['Linux'],"['Debian (Stable)', 'Slackware']",['Czech Republic'],"['i686', 'x86_64']",['Fluxbox'],"['From RAM', 'Live Medium']",['Active']
87,Br OS,clear,Clear Linux is a minimal distribution primarily designed with performance and cloud use-cases in mind. The operating system upgrades as a whole rather than using individual packages. Extra software can be added to the system (along with associated dependencies) using pre-compiled bundles which can be accessed through the distribution's swupd software manager.,['https://clearlinux.org/'],['52 (184 hits per day)'],['7.55'],['Linux'],[],['USA'],['x86_64'],['GNOME'],"['Cloud', 'Desktop', 'Server', 'Specialist']",['Active']
88,4MLinux,neptune,"Neptune is a GNU/Linux distribution for desktops. It is based on Debian's Stable branch, except for a newer kernel, some drivers and newer versions of popular applications, such as LibreOffice. It also ships with the latest version of the KDE desktop. The distribution's main goals are to provide a good-looking general-purpose desktop with pre-configured multimedia playback and to offer an easy-to-use USB installer with a persistence option.",['https://neptuneos.com/'],['62 (168 hits per day)'],['8.68'],['Linux'],['Debian (Stable)'],['Germany'],['x86_64'],['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
89,LXLE,siduction,"The siduction distribution is a desktop-oriented operating system and live medium based on the ""unstable"" branch of Debian GNU/Linux. Forked from aptosid in late 2011, siduction offers many separate live media with a range of desktop environments. The project also promises regular releases, an open development model, and friendly relationship with its developer and user community.",['https://siduction.org/'],['65 (162 hits per day)'],['8'],['Linux'],['Debian (Unstable)'],['Germany'],['x86_64'],"['KDE Plasma', 'LXQt', 'Xfce']","['Desktop', 'Live Medium']",['Active']
90,Feren,deepin,"deepin (formerly, Deepin, Linux Deepin, Hiweed GNU/Linux) is a Debian-based distribution (it was Ubuntu-based until version 15 released in late 2015) that aims to provide an elegant, user-friendly and reliable operating system. It does not only include the best the open source world has to offer, but it has also created its own desktop environment called DDE or Deepin Desktop Environment which is based on the Qt 5 toolkit. Deepin focuses much of its attention on intuitive design. Its home-grown applications, like Deepin Software Centre, DMusic and DPlayer are tailored to the average user. Being easy to install and use, deepin can be a good Windows alternative for office and home use.",['https://deepin.org/'],['84 (130 hits per day)'],['7.83'],['Linux'],['Debian'],['China'],['x86_64'],['Deepin'],['Desktop'],['Active']
91,NuTyX,ferenos,"Feren OS is a desktop Linux distribution based on Ubuntu and featuring the KDE Plasma desktop. It ships with a tweaked Calamares system installer, a custom theme and fonts, the Vivaldi web browser, boot options for advanced users, and a Feren OS Tour application, among the many home-built features and improvements. Prior to November 2020, the distribution was based on Linux Mint and included an edition with the Cinnamon desktop.",['http://ferenos.weebly.com/'],['91 (126 hits per day)'],['8.77'],['Linux'],"['Debian', 'Ubuntu']",['United Kingdom'],"['i686', 'x86_64']","['Cinnamon', 'KDE Plasma']","['Desktop', 'Live Medium']",['Active']
